岗位,公司,城市,学历,标签,链接,截止日期,描述,岗位类型,届别,来源
研发/制造/管理类（2027届全球校招）,潍柴集团,潍坊,本科及以上,央国企;秋招;装备制造,https://weichai.zhiye.com/,,官方校园招聘系统投递；工作地点含潍坊·青岛·烟台；自2026-09-01起报名（以官网公告为准）,秋招,2027届,秋招调研
研发类/自动化与设备管理类/职能管理类,国邦医药集团,潍坊,本科及以上,国企;秋招;医药,https://mp.weixin.qq.com/s/9WX7X3gsEExRnX2LgPgMIQ,,2027届校园招聘；工作地点含潍坊·绍兴·杭州；投递入口见公告内表单,秋招,2027届,秋招调研
信息科技类/金融综合类,中国银行（含云南省分行）,昆明,本科及以上,央企;秋招;银行;信息科技,https://www.boc.cn/aboutboc/bi4/202609/t20260903_25689311.html,,2027年全球校园招聘正式公告；信用卡中心设信息科技岗（与物联网/计算机背景契合）；云南分行岗位以公告为准,秋招,2027届,秋招调研
校园招聘（技术/市场/综合）,中国移动（云南公司）,昆明,本科及以上,央企;秋招;通信,https://job.10086.cn/personal/campus/,,中国移动2027年校园招聘统一入口；选择"云南公司"查看昆明等地岗位,秋招,2027届,秋招调研
2027届秋季校园招聘（云南各分行）,中国建设银行云南省分行,昆明,本科及以上,央企;秋招;银行,http://m.yinhangzhaopin.com/tag/yunnan_509_1.html,,云南银行秋招汇总页（含建行云南分行公告与投递入口，09.04 发布）,秋招,2027届,秋招调研
2027届秋季校园招聘（云南各分行）,中国农业银行云南省分行,昆明,本科及以上,央企;秋招;银行,http://m.yinhangzhaopin.com/tag/yunnan_509_1.html,,云南银行秋招汇总页（含农行云南分行公告与投递入口，09.04 发布）,秋招,2027届,秋招调研
2027届秋季校园招聘,中国民生银行昆明分行,昆明,本科及以上,央国企;秋招;银行,http://m.yinhangzhaopin.com/tag/yunnan_509_1.html,,昆明分行秋季校园招聘启事（09.04 发布，详见汇总页入口）,秋招,2027届,秋招调研
信息化/数据治理/系统运维等（集团统一招聘）,云南航空产业投资集团（云南机场集团）,昆明,本科及以上,国企;秋招;民航;机场,https://hr.ynairport.com/zp/,,集团管理15个机场（含大理）；技术管理部/数据资源管理类岗位与物联网、数据方向契合；报名走集团人才招聘系统,秋招,2027届,秋招调研
大理机场相关岗位（通过集团统一招聘）,云南航空产业投资集团·大理机场,大理,本科及以上,国企;秋招;民航;机场,https://hr.ynairport.com/zp/,,定向单位同集团；岗位由集团统一分配，关注信息类/综合管理类名额,秋招,2027届,秋招调研
2027年度联合校园招聘（山东/云南分公司）,中国邮政,潍坊,本科及以上,央企;秋招;物流;邮政,https://www.iguopin.com/,,中国邮政2027年度联合校园招聘（国聘平台发布）；潍坊/昆明/大理均有分公司岗位，按省份筛选投递,秋招,2027届,秋招调研
2027届校园招聘（多岗位）,中国国新控股有限责任公司,昆明,本科及以上,央企;秋招;投资,https://www.iguopin.com/,,国聘平台发布的央企2027届校园招聘；岗位覆盖全国，含云南地区,秋招,2027届,秋招调研
央国企秋招专场（信息科技/物联网/数据类）,国聘·央国企秋招专场,全国,本科及以上,央国企;秋招;汇总,https://xiaoyuan.iguopin.com/,,国聘校招频道：央企/国企秋招集中入口（军事航天部队、中国航发等持续更新），可按城市与专业筛选,秋招,2027届,秋招调研
